,pagenumber,form,OID,Domain,order,PreText,Question,CDASH,CDASHTYPE,SDTM,SDTMTYPE,codename,codelist,class,x,y,height,width
56,9.0,Informed Consent for Future Use of Data and Samples,DS_IC_FUTURE,DS,2.0,INFORMED CONSENT OBTAINED,"What was the subject's status?; If [DSDECOD], specify",DSTERM,IG,DSTERM,IG,,,question,70.866,666.671,15.744,185.22
57,9.0,Informed Consent for Future Use of Data and Samples,DS_IC_FUTURE,DS,3.0,INFORMED CONSENT OBTAINED,What was the subject's status?,DSDECOD,IG,DSDECOD,IG,INFCST,INFORMED ASSENT OBTAINED FROM JUVENILE;INFORMED CONSENT OBTAINED;INFORMED CONSENT OBTAINED FOR ARCHIVED BIOPSY;INFORMED CONSENT OBTAINED FOR ARCHIVED BLOOD SAMPLES;INFORMED CONSENT OBTAINED FOR CHILD REACHING AGE OF MAJORITY;INFORMED CONSENT OBTAINED FOR DRUG METABOLISM ENZYME;INFORMED CONSENT OBTAINED FOR FRESH BIOPSY;INFORMED CONSENT OBTAINED FOR HIV TESTING;INFORMED CONSENT OBTAINED FOR PHARMACOGENETIC ANALYSIS;INFORMED CONSENT OBTAINED FOR PHARMACOGENETIC BANKING;INFORMED CONSENT OBTAINED FOR PHARMACOGENOMIC;INFORMED CONSENT OBTAINED FOR PHARMACOKINETICS;INFORMED CONSENT OBTAINED FOR STUDY;INFORMED CONSENT OBTAINED FOR USE OF DATA AND SAMPLES FOR FUTURE RESEARCH;INFORMED CONSENT OBTAINED TO PERFORM AUTOPSY;INFORMED CONSENT OBTAINED TO PERFORM HEFH GENOTYPING;INFORMED CONSENT OBTAINED TO USE PREVIOUS HEFH GENOTYPING,question,70.866,157.671,15.744,185.22
58,9.0,Informed Consent for Future Use of Data and Samples,DS_IC_FUTURE,DS,3.0,INFORMED CONSENT OBTAINED,"What was the subject's status?; If [DSDECOD], specify",DSTERM,IG,DSTERM,IG,,,question,70.866,157.671,15.744,185.22
865,9.0,Informed Consent for Future Use of Data and Samples,DS_IC_FUTURE,,4.0,Informed Consent Obtained for Use of Data and Samples for Future Research?,,DSYN,SANOFI,,,,,question,70.866,98.671,15.744,292.056
59,10.0,Demographics,DM_DOB,,13.0,Year of Birth,,BRTHYR,SANOFI,,,,,question,70.866,666.671,15.744,63.924
60,10.0,Demographics,DM_DOB,,14.0,Date of Birth,,BRTHDTYM,SANOFI,,,,,question,70.866,649.671,15.744,63.252
61,10.0,Demographics,DM_DOB,,14.0,Date of Birth,,BRTHDATC,SANOFI,,,,,question,70.866,649.671,15.744,63.252
62,10.0,Demographics,DM_DOB,BR,14.0,Date of Birth,What is the subject's date of birth?,BRTHDAT,IG,BRTHDTC,IG,,,question,70.866,649.671,15.744,63.252
63,10.0,Demographics,DM_DOB,,15.0,Age,,AGEC,SANOFI,,,,,question,70.866,632.671,15.744,19.98
64,10.0,Demographics,DM_DOB,AG,15.0,Age,What is the subject's age?,AGE,IG,AGE,IG,,,question,70.866,632.671,15.744,19.98
65,10.0,Demographics,DM_DOB,,16.0,Age,,AGEC,SANOFI,,,,,question,70.866,615.671,15.744,19.98
66,10.0,Demographics,DM_DOB,AG,16.0,Age,What is the subject's age?,AGE,IG,AGE,IG,,,question,70.866,615.671,15.744,19.98
67,10.0,Demographics,DM_DOB,AG,17.0,Unit,What is the age unit used?,AGEU,IG,AGEU,IG,AGEU,HOURS;DAYS;WEEKS;MONTHS;YEARS,question,70.866,598.671,15.744,21.312
68,10.0,Demographics,DM_DOB,SE,18.0,Sex,What is the sex of the subject?,SEX,IG,SEX,IG,SEX,M;F,question,70.866,515.671,15.744,17.988
69,10.0,Demographics,DM_DOB,ET,19.0,Ethnicity,Do you consider yourself Hispanic/Latino or not Hispanic/Latino?,ETHNIC,IG,ETHNIC,IG,ETHNIC,HISPANIC OR LATINO;NOT HISPANIC OR LATINO;NOT REPORTED;UNKNOWN,question,70.866,480.671,15.744,43.932
70,10.0,Demographics,DM_DOB,,20.0,Race (Check all that apply):,,PROMPT_RACE,SANOFI,,,,,question,70.866,413.659,15.948,135.816
71,10.0,Demographics,DM_DOB,DM,21.0,American Indian or Alaska Native,,RAIAN,SANOFI,RACE,SANOFI,,,question,80.866,396.671,15.744,165.12
72,10.0,Demographics,DM_DOB,DM,22.0,Black or African American,,RBLACK,SANOFI,RACE,SANOFI,,,question,80.866,379.671,15.744,130.812
73,10.0,Demographics,DM_DOB,DM,23.0,Native Hawaiian or Other Pacific Islander,,RNHOPI,SANOFI,RACE,SANOFI,,,question,80.866,362.671,15.744,202.044
74,10.0,Demographics,DM_DOB,DM,24.0,White,,RWHITE,SANOFI,RACE,SANOFI,,,question,80.866,345.671,15.744,29.28
75,10.0,Demographics,DM_DOB,DM,25.0,Asian,,RASIAN,SANOFI,RACE,SANOFI,,,question,80.866,328.671,15.744,27.972
76,10.0,Demographics,DM_DOB,DM,26.0,Not Reported,,RNREP,SANOFI,RACE,SANOFI,,,question,80.866,311.671,15.744,64.932
77,10.0,Demographics,DM_DOB,,26.0,Not Reported,,RANREP,SANOFI,,,,,question,80.866,311.671,15.744,64.932
78,10.0,Demographics,DM_DOB,DM,27.0,Unknown,,RUNK,SANOFI,RACE,SANOFI,,,question,80.866,294.671,15.744,47.328
79,10.0,Demographics,DM_DOB,,27.0,Unknown,,RAUNK,SANOFI,,,,,question,80.866,294.671,15.744,47.328
80,10.0,Demographics,DM_DOB,,28.0,"If Asian, specify the origin reported by the subject. Check all that apply.",,PROMPT_ASIAN,SANOFI,,,,,question,80.866,277.659,15.948,345.924
81,10.0,Demographics,DM_DOB,,29.0,Chinese,,RCHINESE,SANOFI,,,,,question,70.866,260.671,15.744,38.616
82,10.0,Demographics,DM_DOB,,30.0,Japanese,,RJAPAN,SANOFI,,,,,question,80.866,243.671,15.744,42.6
83,10.0,Demographics,DM_DOB,,31.0,Asian Indian,,RAINDIAN,SANOFI,,,,,question,80.866,226.671,15.744,61.608
84,10.0,Demographics,DM_DOB,,32.0,Korean,,RKOREAN,SANOFI,,,,,question,80.866,209.671,15.744,35.292
85,10.0,Demographics,DM_DOB,,33.0,Other Asian Origin,,RAOTHER,SANOFI,,,,,question,80.866,192.671,15.744,92.58
86,10.0,Demographics,DM_DOB,,34.0,"If Other, Specify.",,RAOTHSP,SANOFI,,,,,question,80.866,175.671,15.744,83.916
87,10.0,Demographics,DM_DOB,DM,35.0,Not Reported,,RNREP,SANOFI,RACE,SANOFI,,,question,80.866,158.671,15.744,64.932
88,10.0,Demographics,DM_DOB,,35.0,Not Reported,,RANREP,SANOFI,,,,,question,80.866,158.671,15.744,64.932
89,10.0,Demographics,DM_DOB,DM,36.0,Unknown,,RUNK,SANOFI,RACE,SANOFI,,,question,80.866,141.671,15.744,47.328
90,10.0,Demographics,DM_DOB,,36.0,Unknown,,RAUNK,SANOFI,,,,,question,80.866,141.671,15.744,47.328
91,11.0,Influenza Like Illness,CE_VAC_ILI,CE,2.0,Category for Clinical Event,What is the category of the clinical event?,CECAT,IG,CECAT,IG,CECAT,ALLERGIC REACTION;BONE FRACTURE;HYPERSENSITIVITY/ALLERGIC REACTION;HYPOGLYCEMIC EVENTS;HYPOGLYCEMIC SYMPTOMS;INJECTION SITE REACTION;MULTIPLE SCLEROSIS;NEUROLOGIC DISORDER;SUSPECTED DENGUE EVENT;SUSPECTED OR CONFIRMED CEREBROVASCULAR EVENT;SUSPECTED OR CONFIRMED DIABETIC KETOACIDOSIS;SUSPECTED OR CONFIRMED HEART FAILURE;SUSPECTED OR CONFIRMED MYOCARDIAL INFARCTION / UNSTABLE ANGINA;SUSPECTED INFLUENZA EVENT,question,70.866,666.671,15.744,132.816
869,11.0,Influenza Like Illness,CE_VAC_ILI,,23.0,Did the subject experience any Influenza Like Illness since last visit?,Were any clinical events experienced?,CEYN,IG,,,,,question,70.866,365.671,15.744,302.568
870,11.0,Influenza Like Illness,CE_VAC_ILI,,27.0,"If the subject experienced influenza like illness, provide all the action taken.  If not, leave all the fields blank.",,PROMPT_CE,SANOFI,,,,,question,70.866,330.671,15.744,461.328
92,11.0,Influenza Like Illness,CE_VAC_ILI,CE,29.0,Episode ID,What is the clinical event identifier?,CESPID,IG,CESPID,IG,,,question,70.866,296.671,15.744,54.288
93,11.0,Influenza Like Illness,CE_VAC_ILI,CE,30.0,Clinical Event Term,What is the clinical event term?,CETERM,IG,CETERM,IG,,,question,70.866,279.671,15.744,97.836
94,11.0,Influenza Like Illness,CE_VAC_ILI,CE,31.0,Pre-specified?,,CEPRESP,IG,CEPRESP,IG,NY_YN,Y;N,question,70.866,262.671,15.744,68.556
95,11.0,Influenza Like Illness,CE_VAC_ILI,,35.0,Medication,,CEACMED,SANOFI,,,,,question,70.866,227.671,15.744,54.588
96,11.0,Influenza Like Illness,CE_VAC_ILI,,36.0,Health Care Visit,,CEACTHC,SANOFI,,,,,question,70.866,210.671,15.744,83.868
97,11.0,Influenza Like Illness,CE_VAC_ILI,,37.0,Hospitalized,,CEACTHO,SANOFI,,,,,question,70.866,193.671,15.744,60.576
98,11.0,Influenza Like Illness,CE_VAC_ILI,,38.0,No Action Taken,,CEACTN,SANOFI,,,,,question,70.866,176.671,15.744,83.244
99,11.0,Influenza Like Illness,CE_VAC_ILI,,39.0,Duration,,CEDUR,SANOFI,,,,,question,70.866,159.671,15.744,42.624
